"YEAR","DATA_VALUE","LOWER_95_CI","UPPER_95_CI","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES","REGION"
1994,8632,613,16652,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
1995,1427,0,3120,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
1997,1283,0,3054,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
1998,1183,0,3451,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
1999,1524,0,3492,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
2001,1847,0,4218,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
2002,1066,0,3106,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
2003,5342,0,11552,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
2004,56,0,160,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
2006,1092,0,3212,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
2014,1083,0,3220,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
2018,9415,0,27851,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
1993,296,0,887,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","WAHOO","NORTH ATLANTIC"
1998,430,0,1267,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","WAHOO","NORTH ATLANTIC"
1999,66,0,198,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","WAHOO","NORTH ATLANTIC"
2014,361,0,1073,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","WAHOO","NORTH ATLANTIC"
2021,42,0,123,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","WAHOO","NORTH ATLANTIC"
1981,17596,0,44808,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1983,17271,0,42490,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1984,1839,404,3273,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1985,4898,0,11773,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1986,6786,0,13783,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1987,19042,7248,30836,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1988,20489,6193,34786,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1989,8019,0,16774,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1990,1261,146,2375,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1991,903,0,2411,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1992,627,0,1755,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1993,44602,15491,73713,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1994,12611,722,24500,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1995,32089,10642,53536,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
1996,1420,0,3205,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","YELLOWFIN TUNA","NORTH ATLANTIC"
