"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"DIOPATRA CUPREA",NA,NA,NA,"214050901010000","DIOCUP","5001290201",NA,"S",NA,"(BOSC)",NA,NA,"MONOTYPIC GENUS IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"DIPLECTRUM BIVITTATUM","DWARF SAND PERCH",529,"DSANDPER",NA,NA,"8835021005",NA,"S",NA,"(VALENCIENNES)","AFS-1991",NA,NA,"Diplectrum bivittatum","Dwarf Sand Perch","529",1995-08-09,"BK",NA,NA
"DIPLECTRUM FORMOSUM","SAND PERCH",530,"SANDPERC","823217004010000","DIPFOR","8835021002",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Diplectrum formosum","Sand Perch","530",1995-08-09,"BK",NA,NA
"DIPLOCIRRUS HIRSUTUS",NA,NA,NA,"214070102010000","DIPHIR","5001540402",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"DIPLODUS ARGENTEUS","SILVER PORGY",638,"SILPORGY",NA,NA,"8835430402",NA,"S",NA,"VALENCIENNES","AFS-1991",NA,NA,"Diplodus argenteus","Silver Porgy","638",1995-08-09,"BK",NA,NA
"DIPLODUS HOLBROOKI","SPOTTAIL PINFISH",639,"SPPIN",NA,NA,"8835430401",NA,"S",NA,"BEAN","AFS-1991",NA,NA,"Diplodus holbrooki","Spottail Pinfish","639",1995-08-09,"BK",NA,NA
"DISCARDED FOOD",NA,NA,NA,"932010200000000","DISFOO","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI PREY CATEGORY (HUMAN FOOD DISCARD)",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"DORMITATOR MACULATUS","FAT SLEEPER",736,"FAT",NA,NA,"8847013302",NA,"S",NA,"(BLOCH)","AFS-1991",NA,NA,"Dormitator maculatus","Fat Sleeper","736",1995-08-09,"BK",NA,NA
"DOROSOMA CEPEDIANUM","GIZZARD SHAD",426,"GIZZARD",NA,NA,"8747010501",NA,"S",NA,"(LESUEUR, 1818)","AFS-1991",NA,NA,"Dorosoma cepedianum","Gizzard Shad","426",1995-08-09,"BK",NA,NA
"DOTO CORONATA","CROWN DOTO",NA,NA,"514011001010000","DOTCOR","5134090103",NA,"S",NA,"(GMELIN,1791)","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"DOTONIDAE",NA,NA,NA,"514011000000000","DOTFAM","513409",NA,"F","S","ALTERNATE SPELLING","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"DRILONEREIS LONGA",NA,NA,NA,"214050102030000","DRILON","5001330103",NA,"S",NA,"WEBSTER",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"DRILONEREIS MAGNA",NA,NA,NA,"214050102040000","DRIMAG","5001330105",NA,"S",NA,"WEBSTER & BENEDIC",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"DRILONEREIS SP",NA,NA,NA,"214050102000000","DRILSP","50013301",NA,"G",NA,"CLAPAREDE,1870",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"DULICHIA MONACANTHA",NA,NA,NA,"411012601020000","DULMON","6169440104",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"DULICHIA PORRECTA",NA,NA,NA,"411012601040000","DULPOR","6169440105",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"DULICHIA SP",NA,NA,NA,"411012601000000","DULISP","61694401",NA,"G",NA,"KROYER, 1845",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ECHENEIS NAUCRATES","SHARKSUCKER",564,"SSUCKER",NA,NA,"8835270201",NA,"S",NA,"LINNAEUS, 1758","AFS-1991",NA,NA,"Echeneis naucrates","Sharksucker","564",1995-08-09,"BK",NA,NA
"ECHINARACHNIUS PARMA","SAND DOLLAR",NA,NA,"612040101010000","ECHPAR","8155020101",NA,"S",NA,"(LAMARCK, 1816)",NA,NA,"ID'ED AS 'SAND DOLLARS' ASSUMED NORTHERN",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ECHINODERMATA","ECHINODERM UNCL",NA,NA,"610000000000000","ECHINO","81",NA,"P",NA,"KLEIN, 1734",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CORAMBIDAE",NA,NA,NA,"514010200000000","CORFAM","513107",NA,"F",NA,"BERGH,1869","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CORNIGER SPINOSUS","SPINYCHEEK SOLDIERFISH",477,"SPSOLD",NA,NA,"8810080601",NA,"S",NA,"AGASSIZ","AFS-1991",NA,NA,"Corniger spinosus","Spinycheek Soldierfish","477",1995-08-09,"BK",NA,NA
"COROPHIIDAE",NA,NA,NA,"411011000000000","CORFA1","616915",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"COROPHIUM ACUTUM",NA,NA,NA,"411011001020000","CORACU","6169150213",NA,"S",NA,"CHEVREUX, 1908",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"COROPHIUM CRASSICORNE",NA,NA,NA,"411011001130000","CORCRA","6169150203",NA,"S",NA,"BRUZELIUS, 1859",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"COROPHIUM INSIDIOSUM",NA,NA,NA,"411011001140000","CORINS","6169150211",NA,"S",NA,"CRAWFORD, 1937",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"COROPHIUM SP",NA,NA,NA,"411011001000000","COROSP","61691502",NA,"G",NA,"LATREILLE, 1806",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CORYMORPHA SP",NA,NA,NA,"051011301000000","CORYSP","37032501",NA,"G",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CORYPHAENA EQUISETIS","POMPANO DOLPHIN",583,"PODOLPH",NA,NA,"8835290102",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Coryphaena equisetis","Pompano Dolphin","583",1995-08-09,"BK",NA,NA
"CORYPHAENA HIPPURUS","DOLPHIN",584,"DOLPH",NA,NA,"8835290101",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Coryphaena hippurus","Dolphin","584",1995-08-09,"BK",NA,NA
"COSMOCAMPUS ALBIROSTRIS","WHITENOSE PIPEFISH",491,"WHPIPE",NA,NA,"8820022301",NA,"S",NA,"(KAUP, 1856)","AFS-1991",NA,"|SV: NAME CHANGE AFS-1980","Corythoichthys albirostris","Whitenose Pipefish","491",1995-08-09,"BK",NA,NA
"COTTIDAE","SCULPIN UNCL",160,"SCULPINU","823212300000000","COTFAM","883102",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Cottidae uncl","Sculpin Uncl","160",1998-12-31 23:00:00,"FPA",NA,NA
"COTTIDAE EGGS","SCULPIN EGGS",NA,NA,"823212300000100","COTEGG","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CRANGON SEPTEMSPINOSA","SEVENSPINE BAY SHRIMP",287,NA,"411020502010000","CRASEP","6179220103",NA,"S",NA,"SAY, 1818","AFS-1989",NA,"MONOTYPIC GENUS IN AREA","Crangon septemspinosa","Sevenspine Bay Shrimp","287",1995-08-09,"BK",NA,NA
"CRANGONIDAE",NA,NA,NA,"411020500000000","CRAFAM","617922",NA,"F",NA,"HAWORTH, 1825","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CRENELLA GLANDULA",NA,NA,NA,"512030104050000","CREGLA","5507010203",NA,"S",NA,"(TOTTEN,1834)","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CRENELLA SP",NA,NA,NA,"512030104000000","CRENSP","55070102",NA,"G",NA,"BROWN,1827","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CREPIDULA PLANA","EASTERN WHITE SLIPPERSNAIL",NA,NA,"514041201030000","CREPLA","5103640207",NA,"S",NA,"SAY, 1822","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CREPIDULA SP",NA,NA,NA,"514041201000000","CREPSP","51036402",NA,"G",NA,"LAMARCK, 1799","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CRINOIDEA","SEA LILY AND FEATHER STAR UNCL",NA,NA,"614000000000000","CRINOI","8186",NA,"C",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CRUCIBULUM STRIATUM","STRIATE CUP-AND-SAUCER",NA,NA,"514040501010000","CRUSTR","5103640401",NA,"S",NA,"SAY, 1824","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CRUSTACEA",NA,NA,NA,"411000000000000","CRUSTA","61",NA,"C",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CRUSTACEA EGGS","CRUSTACEAN EGGS",NA,NA,"411000000000100","CRUEGG","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CRUSTACEA LARVAE","CRUSTACEAN LARVAE",NA,NA,"411000000000200","CRULAR","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CRUSTACEA SHRIMP","SHRIMP UNCL",305,"SHRIMPU","411000000010000","CRUSHR","NONE",NA,NA,NA,NA,"FH-1995",NA,"|SV: SHRIMP UNCL, INCLUDING DECAPODA AND OTHERS, NON-PHYLETIC GROUP","Natantia sp","Shrimp Uncl","305",1998-12-31 23:00:00,"FPA",NA,NA
"CRYPTACANTHODES MACULATUS","WRYMOUTH",191,"WRYMOUTH","823212401010000","CRYMAC","8842122001",NA,"S",NA,"STORER, 1839","AFS-1991",NA,"SINGLE SP. IN FAMILY IN AREA","Cryptacanthodes maculatus","Wrymouth","191",1995-08-09,"BK",NA,NA
"CRYPTOTOMUS ROSEUS","BLUELIP PARROTFISH",684,"LIPPARR",NA,NA,"8839030201",NA,"S",NA,"COPE","AFS-1991",NA,NA,"Cryptotomus roseus","Bluelip Parrotfish","684",1995-08-09,"BK",NA,NA
"CTENODISCUS CRISPATUS","MUD STAR",NA,NA,"611030601010000","CTECRI","8107020101",NA,"S",NA,"(RETZIUS, 1805)",NA,NA,"MONOTYPIC GENUS IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CTENOPHORA","COMB JELLY OR SEA WALNUT UNCL",NA,NA,"060000000000000","CTENOP","38",NA,"P",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CUBICEPS PAUCIRADIATUS","BIGEYE CIGARFISH",876,"CIGAR",NA,NA,"8851020202",NA,"S",NA,"GUENTHER, 1872","AFS-1991",NA,"|SV: NAME CHANGE AFS-1990","Cubiceps athenae","Bigeye Cigarfish","876",1995-08-09,"BK",NA,NA
"CUMACEA",NA,NA,NA,"411040000000000","CUMACE","6154",NA,"O",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CUSPIDARIA SP",NA,NA,NA,"512050102000000","CUSPSP","55201002",NA,"G",NA,"NARDO,1840","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CYCLASPIS VARIANS",NA,NA,NA,"411040101020000","CYCVAR","6154090202",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CYCLOCARDIA BOREALIS","NORTHERN CYCLOCARDIA",419,NA,"512080402010000","CYCBOR","5515170106",NA,"S",NA,"(CONRAD,1831)","AFS-1988",NA,"|SV: NAMES CORRECTED TO AFS-1988 STANDARD","Venercardia borealis","Northern Cardita","419",1995-08-09,"BK",NA,NA
"CYCLOCARDIA SP",NA,NA,NA,"512080402000000","CYCLSP","55151701",NA,"G",NA,"CONRAD,1867","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CYCLOPECTEN PUSTULOSUS",NA,NA,NA,"512060804020000","CYCPUS","5509050206",NA,"S",NA,"VERRILL,1873","?",NA,"UNKNOWN SPECIES NEED VERIFICATION",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CYCLOPIDAE",NA,NA,NA,"411082300000000","CYCFAM","612008",NA,"F",NA,"BURMEISTER, 1834",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CYCLOPOIDA","CYCLOPOID COPEPOD UNCL",NA,NA,"411080000020000","CYCLOP","6120",NA,"O",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CYCLOPSETTA FIMBRIATA","SPOTFIN FLOUNDER",783,"SPOTFL",NA,NA,"8857030802",NA,"S",NA,"(GOODE AND BEAN)","AFS-1991",NA,NA,"Cyclopsetta fimbriata","Spotfin Flounder","783",1995-08-09,"BK",NA,NA
"CYCLOPTERIDAE","LUMPFISH SNAILFISH UNCL",249,"SNAILU","823212500000000","LIPASP","883109",NA,"F",NA,NA,"AFS-1991",NA,"|SV: FAMILY REVISIONS AFS-90, MOST OFTEN USED FOR LIPARIS SP.","Cyclopteridae sp","Lumpfish Snailfish Uncl","249",1998-12-31 23:00:00,"FPA",NA,NA
"CYCLOPTERUS LUMPUS","LUMPFISH",168,"LUMPFISH","823212505010000","CYCLUM","8831091501",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Cyclopterus lumpus","Lumpfish","168",1995-08-09,"BK",NA,NA
"CYCLOSTREMATIDAE",NA,NA,NA,"514020400000000","CYCFA1","510222",NA,"F",NA,"FISCHER, 1885","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CYMADUSA COMPTA",NA,NA,NA,"411010403010000","CYMCOM","6169040201",NA,"S",NA,"SMITH, 1873",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CYMOTHOIDAE",NA,NA,NA,"411030500000000","CYMFAM","616106",NA,"F",NA,"DANA, 1852",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CYNOSCION ARENARIUS","SAND SEATROUT",644,"SANSEAT",NA,NA,"8835440106",NA,"S",NA,"GINSBURG","AFS-1991",NA,NA,"Cynoscion arenarius","Sand Seatrout","644",1995-08-09,"BK",NA,NA
"CYNOSCION NEBULOSUS","SPOTTED SEATROUT",645,"SPOSEAT",NA,NA,"8835440102",NA,"S",NA,"(CUVIER)","AFS-1991",NA,NA,"Cynoscion nebulosus","Spotted Seatrout","645",1995-08-09,"BK",NA,NA
"CYNOSCION NOTHUS","SILVER SEATROUT",646,"SILSEAT",NA,NA,"8835440103",NA,"S",NA,"(HOLBROOK)","AFS-1991",NA,NA,"Cynoscion nothus","Silver Seatrout","646",1995-08-09,"BK",NA,NA
"CYNOSCION REGALIS","WEAKFISH",145,"WEAKFISH","823216404060000","CYNREG","8835440104",NA,"S",NA,"(BLOCH AND SCHNEIDER)","AFS-1991",NA,NA,"Cynoscion regalis","Weakfish","145",1995-08-09,"BK",NA,NA
"CYPRINODON VARIEGATUS","SHEEPSHEAD MINNOW",472,"SMINNOW","823100103110000","CYPVAR","8804040101",NA,"S",NA,"LACEPEDE","AFS-1991",NA,"SUSPECT ID, ESTURINE SP. |SV: ID SUSPECT","Cyprinodon variegatus","Sheepshead Minnow","472",1995-08-09,"BK",NA,NA
"CYPSELURUS CYANOPTERUS","MARGINED FLYINGFISH",463,"MAFLYING",NA,NA,"8803010103",NA,"S",NA,"(VALENCIENNES)","AFS-1991",NA,NA,"Cypselurus cyanopterus","Margined Flyingfish","463",1995-08-09,"BK",NA,NA
"CYPSELURUS FURCATUS","SPOTFIN FLYINGFISH",464,"SPFLYING",NA,NA,"8803010105",NA,"S",NA,"(MITCHILL)","AFS-1991",NA,NA,"Cypselurus furcatus","Spotfin Flyingfish","464",1995-08-09,"BK",NA,NA
"CYPSELURUS MELANURUS","ATLANTIC FLYINGFISH",465,"ATFLYING",NA,NA,"8803010114",NA,"S",NA,NA,"AFS-1991",NA,NA,"Cypselurus melanurus","Atlantic Flyingfish","465",1995-08-09,"BK",NA,NA
"CYRTODARIA SILIQUA","NORTHERN PROPELLER CLAM",417,NA,NA,NA,"5517060102",NA,"S",NA,"(SPENGLER,1793)","AFS-1988",NA,NA,"Cyrtodaria siliqua","Northern Propeller Clam","417",1995-08-09,"BK",NA,NA
"CYTTOPSIS ROSEA","RED DORY",899,"REDDORY",NA,NA,"8811030101",NA,NA,NA,NA,"AFS-1991",NA,"|SV: SPELLING CHANGE AFS-1990, NODC SPELLING ERROR","Cyttopsis roseus","Red Dory","899",1995-08-09,"BK",NA,NA
"DACRYDIUM SP",NA,NA,NA,"512030105000000","DACRSP","55070105",NA,"G",NA,"TORRELL,1859","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHIRIDOTEA TUFTSI",NA,NA,NA,"411030601040000","CHITUF","6162030105",NA,"S",NA,"(STIMPSON, 1853)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHITON TUBERCULATUS","WEST INDIAN GREEN CHITON",NA,NA,"511020402030000","CHITUB","5303090103",NA,"S",NA,NA,"AFS-1988",NA,"MONOTYPIC GENUS IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHLAMYS ISLANDICA","ICELAND SCALLOP",340,"ICELAND","512060803030000","CHLISL","5509050103",NA,"S",NA,"(MULLER,1776)","AFS-1988",NA,"|SV: CORRECTED TO CONFORM TO FCDI PREY NAMES","Chlamys islandica (live)","Iceland Scallop (Live)","340",1995-08-09,"BK",NA,NA
"CHLAMYS ISLANDICA CLAPPER","ICELAND SCALLOP CLAPPER",341,"ICELAND",NA,NA,"NONE",NA,NA,NA,NA,"RSI-1996",NA,"SPECIAL RSI CODE |SV: SHELLS WITH INTACT HINGE, SUGGEST ANOXIA","Chlamys islandica (clapper)","Iceland Scallop (Clapper)","341",1995-08-09,"BK",NA,NA
"CHLAMYS ISLANDICA SHELL","ICELAND SCALLOP SHELL",NA,NA,"512060803030004","CHLSHE","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHLAMYS SP",NA,NA,NA,"512060803000000","CHLASP","55090501",NA,"G",NA,"RODING,1798","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHLOROPHTHALMIDAE","GREENEYE UNCL",47,"GREENU","823180400000000","CHLFAM","876204",NA,"F",NA,NA,"AFS-1991",NA,"|SV: CORRECTED TO FAMILY NAME","Chlorophthalmid sp","Greeneye Uncl","047",1998-12-31 23:00:00,"FPA",NA,NA
"CHLOROPHTHALMUS AGASSIZI","SHORTNOSE GREENEYE",232,"SHGREEN","823180401010000","CHLAGA","8762040101",NA,"S",NA,"BONAPARTE, 1840","AFS-1991","MEAD 1966 FWNA 5:166, FIG. 45",NA,"Chlorophthalmus agassizi","Shortnose Greeneye","232",1995-08-09,"BK",NA,NA
"CHLOROPHTHALMUS SP",NA,231,"--DNU--",NA,NA,"87620401",NA,"G",NA,"BONAPARTE, 1840",NA,NA,"|SV: CHECK LOG, C.CHALYBEIUS IS INVALIDE SPECIES, RECODE IF NEEDED","Chlorophthalmus chalybeius. . dnu","Chlorophthalmus Chalybeius","231",1995-08-09,"BK",NA,NA
"CHLOROPHYTA","GREEN ALGAE",NA,NA,"912030000000000","CHLORO","08",NA,"P","S",NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHLOROSCOMBRUS CHRYSURUS","ATLANTIC BUMPER",573,"BUMPER",NA,NA,"8835280401",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Chloroscombrus chrysurus","Atlantic Bumper","573",1995-08-09,"BK",NA,NA
"CHONDRICHTHYES","CARTILAGINOUS FISH UNCL",NA,NA,"822000000000000","CHONDR","8701",NA,"C",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1999-03-08 14:18:11,"FPA",NA,NA
"CHONDRICHTHYES EGGS","CHONDRICHTHYES EGG CASES",NA,NA,"822000000000100","CHOEGG","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHONE INFUNDIBULIFORMIS",NA,NA,NA,"214130202030000","CHOINF","5001700102",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHONE SP",NA,NA,NA,"214130202000000","CHONSP","50017001",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHROMIS ENCHRYSURUS","YELLOWTAIL REEFFISH",670,"REEFFISH",NA,NA,"8835620302",NA,"S",NA,"JORDAN AND GILBERT","AFS-1991",NA,NA,"Chromis enchrysurus","Yellowtail Reeffish","670",1995-08-09,"BK",NA,NA
"CHROMIS INSOLATA","SUNSHINEFISH",671,"SUNSHIN",NA,NA,"8835620303",NA,"S",NA,"(CUVIER, 1830)","AFS-1991",NA,"|SV: SPELLING CHANGE AFS-1990","Chromis insolatus","Sunshinefish","671",1995-08-09,"BK",NA,NA
"CIROLANA BOREALIS",NA,NA,NA,"411030401010000","CIRBOR","6161010114",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CIROLANIDAE",NA,NA,NA,"411030400000000","CIRFAM","616101",NA,"F",NA,"DANA, 1853",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CIRRATULIDAE",NA,NA,NA,"214150400000000","CIRFA1","500150",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CIRRATULUS SP",NA,NA,NA,"214150403000000","CIRRSP","50015001",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CIRRIFORMIA SP",NA,NA,NA,"214150404000000","CIRRS1","50015006",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CIRRIPEDIA","BARNACLE UNCL",NA,NA,"411070000000000","CIRRIP","6130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CIRRIPEDIA LARVAE","BARNACLE LARVAE",NA,NA,"411070000000200","CIRLAR","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CIRROPHORUS SP",NA,NA,NA,"214090202000000","CIRRS2","50014106",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CITHARICHTHYS ARCTIFRONS","GULF STREAM FLOUNDER",109,"GULFST","823230104010000","CITARC","8857030104",NA,"S",NA,"GOODE","AFS-1991",NA,NA,"Citharichthys arctifrons","Gulf Stream Flounder","109",1995-08-09,"BK",NA,NA
"CITHARICHTHYS ARENACEUS","SAND WHIFF",779,"SAWHIFF",NA,NA,"8857030105",NA,"S",NA,"EVERMANN AND MARSH","AFS-1991",NA,NA,"Citharichthys arenaceus","Sand Whiff","779",1995-08-09,"BK",NA,NA
"CITHARICHTHYS CORNUTUS","HORNED WHIFF",780,"HOWHIFF",NA,NA,"8857030106",NA,"S",NA,"(GUENTHER)","AFS-1991",NA,NA,"Citharichthys cornutus","Horned Whiff","780",1995-08-09,"BK",NA,NA
"CITHARICHTHYS GYMNORHINUS","ANGLEFIN WHIFF",882,"OYMNO",NA,NA,"8857030108",NA,"S",NA,NA,"AFS-1991",NA,NA,"Citharichthys gymnorhinus","Anglefin Whiff","882",1995-08-09,"BK",NA,NA
"CITHARICHTHYS MACROPS","SPOTTED WHIFF",781,"SPWHIFF","823230104030000","CITMAC","8857030109",NA,"S",NA,"DRESEL","AFS-1991",NA,NA,"Citharichthys macrops","Spotted Whiff","781",1995-08-09,"BK",NA,NA
"CITHARICHTHYS SP","WHIFF UNCL",866,"WHIFFU","823230104000000","CITHSP","88570301",NA,"G",NA,NA,"AFS-1991",NA,NA,"Citharichthys sp","Whiff Uncl","866",1998-12-31 23:00:00,"FPA",NA,NA
"CITHARICHTHYS SPILOPTERUS","BAY WHIFF",782,"BAWHIFF",NA,NA,"8857030110",NA,"S",NA,"GUENTHER","AFS-1991",NA,NA,"Citharichthys spilopterus","Bay Whiff","782",1995-08-09,"BK",NA,NA
"CITRUS RIND","CITRUS RIND",NA,NA,"932010201010000","CITRIN","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE FOR DISCARDED HUMAN TRASH FOUND IN STOMACH",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ARGOPECTEN GIBBUS","ATLANTIC CALICO SCALLOP",404,"CALSCAL",NA,NA,"5509051201",NA,"S",NA,"(LINNAEUS,1758)","AFS-1988",NA,"|SV: NAME CORRECTED TO AFS-1988 STANDARD","Aequipecten gibbus","Calico Scallop","404",1995-08-09,"BK",NA,NA
"ARGOPECTEN IRRADIANS","BAY SCALLOP",402,"BAYSCAL","512060802010000","ARGIRR","5509051202",NA,"S",NA,"(LAMARCK,1819)","AFS-1988",NA,"|SV: NAME CORRECTED TO AFS-1988 STANDARD","Aequipecten irradians","Bay Scallop","402",2002-06-18 13:17:33,"FALMEIDA",NA,NA
"ARGULUS SP",NA,NA,NA,"411080101000000","ARGUSP","61290101",NA,"G",NA,"MUELLER,1785",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ARGYROPELECUS ACULEATUS","SILVER HATCHETFISH",250,"SHATCH",NA,NA,"8759020102",NA,"S",NA,"CUVIER AND VALENCIENNES","SCOTT&SCOTT-170","SCHULTZ 1964 FWNA 4:256, FIG 62",NA,"Argyropelecus aculeatus","Silver Hatchetfish","250",1995-08-09,"BK",NA,NA
"ARICIDEA JEFFREYSI",NA,NA,NA,"214090201040000","ARIJEF","5001410204",NA,"S",NA,NA,"NODC",NA,"USED NODC SPELLING (A. JEFFREYSII SYN.)",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ARICIDEA QUADRILOBATA",NA,NA,NA,"214090201050000","ARIQUA","5001410217",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ARICIDEA SP",NA,NA,NA,"214090201000000","ARICSP","50014102",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
