"","Time","Value","Var","Units","Species"
"395",2017,19145,"total_recreational_catch_n","n","THRESHER SHARK"
"396",2018,5101,"total_recreational_catch_n","n","THRESHER SHARK"
"397",2019,9288,"total_recreational_catch_n","n","THRESHER SHARK"
"398",2020,9581,"total_recreational_catch_n","n","THRESHER SHARK"
"399",2021,10152,"total_recreational_catch_n","n","THRESHER SHARK"
"400",2022,7136,"total_recreational_catch_n","n","THRESHER SHARK"
"401",2023,5770,"total_recreational_catch_n","n","THRESHER SHARK"
"402",2024,7301,"total_recreational_catch_n","n","THRESHER SHARK"
"403",1981,320,"total_recreational_catch_n","n","TIGER SHARK"
"404",1982,15856,"total_recreational_catch_n","n","TIGER SHARK"
"405",1983,705,"total_recreational_catch_n","n","TIGER SHARK"
"406",1985,200,"total_recreational_catch_n","n","TIGER SHARK"
"407",1986,4247,"total_recreational_catch_n","n","TIGER SHARK"
"408",1987,429,"total_recreational_catch_n","n","TIGER SHARK"
"409",1989,485,"total_recreational_catch_n","n","TIGER SHARK"
"410",1990,691,"total_recreational_catch_n","n","TIGER SHARK"
"411",1998,2055,"total_recreational_catch_n","n","TIGER SHARK"
"412",2001,127,"total_recreational_catch_n","n","TIGER SHARK"
"413",2002,2113,"total_recreational_catch_n","n","TIGER SHARK"
"414",2006,24,"total_recreational_catch_n","n","TIGER SHARK"
"415",2007,93,"total_recreational_catch_n","n","TIGER SHARK"
"416",2008,165,"total_recreational_catch_n","n","TIGER SHARK"
"417",2009,444,"total_recreational_catch_n","n","TIGER SHARK"
"418",2010,128,"total_recreational_catch_n","n","TIGER SHARK"
"419",2011,4921,"total_recreational_catch_n","n","TIGER SHARK"
"420",2015,14134,"total_recreational_catch_n","n","TIGER SHARK"
"421",2016,64,"total_recreational_catch_n","n","TIGER SHARK"
"422",2018,1195,"total_recreational_catch_n","n","TIGER SHARK"
"423",2019,1290,"total_recreational_catch_n","n","TIGER SHARK"
"424",2020,2077,"total_recreational_catch_n","n","TIGER SHARK"
"425",2022,86,"total_recreational_catch_n","n","TIGER SHARK"
"426",2023,285,"total_recreational_catch_n","n","TIGER SHARK"
"427",1982,3723,"total_recreational_catch_n","n","WHITE SHARK"
"428",1984,796,"total_recreational_catch_n","n","WHITE SHARK"
"429",2021,331,"total_recreational_catch_n","n","WHITE SHARK"
